Nama Produk|Harga|Gambar
Major 1|50000|https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgpLPySi7dOHkNYPUVpH63dDGQxYb6707rCECKHdQdp13rBFJIcn-U47pkQr68gsLDKtCoRdm18-COWTj0Te7-CHMQqIuBzIs3pqCVgbxbUnmarsw5LuKY35zTHaS3phksJKfDm9JTn_lnuGorl_ChQY_1SeYQqxSNjmod39Qi_JIfEnjR7O1HPxyjkuMo/w300-h300-c-rw/m1.png
Bintang 1|100000|https://blogger.googleusercontent.com/img/a/AVvXsEh6PsLoZxvRCdfwk5aL7fuKNFMMuUa2eFSsMBTfzxKboLJuOTf-NjZ30ADjqI5NPf1CA3B37fQEtCh5c3oVGMt6o-t_gdL1xJwNgS887XVC49YH8RRq0M_m8caVra8rRgz60RnNWyZtg-KtfSfp7A_PM3Y5uF2zKJ0QTzFeHlWg_kalM6LHeMa0Z7j3=w300-h300-c-rw
Hero Bintang 5|1400000|https://blogger.googleusercontent.com/img/a/AVvXsEjIa3OwJM_uluD1uU2MJ4w6i-n1QlKqI77PZhyJvVXxnBwmO6x9MrcxkbksOrdgkRKf52wY6Iq1xnLGal7ulOuhICtApDDne-ejxja_DMBPzMxk7ezlT-208zt4xkivUJRXzacgl9FvN3aDtwcfcZ6XWxQ5D7ULGICEcKRMY4sM8c5vqTTcpXOSoe1g=w300-h300-c-rw
2 JT XP|40000|https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEh7VoWUJipskbLn2xu_5v93ZFE0CFQiMMhGg1mlBVJLqy9flftHZR8M1RwaEmWB5RNpPHoQ_u3dS5XKPK1USiY4QceqqSv2jKsLCUk4F_E16_1Q-0ayWd1lORqahMh9DPji6Ht-9t6aJgseDPxU_nioRt15T13dSgAgT-2JKNoorPMcHEtBwSVNLK-kJss/w300-h300-c-rw/pb.png
5 JT XP|60000|https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEh7VoWUJipskbLn2xu_5v93ZFE0CFQiMMhGg1mlBVJLqy9flftHZR8M1RwaEmWB5RNpPHoQ_u3dS5XKPK1USiY4QceqqSv2jKsLCUk4F_E16_1Q-0ayWd1lORqahMh9DPji6Ht-9t6aJgseDPxU_nioRt15T13dSgAgT-2JKNoorPMcHEtBwSVNLK-kJss/w300-h300-c-rw/pb.png
10 JT XP|110000|https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEh7VoWUJipskbLn2xu_5v93ZFE0CFQiMMhGg1mlBVJLqy9flftHZR8M1RwaEmWB5RNpPHoQ_u3dS5XKPK1USiY4QceqqSv2jKsLCUk4F_E16_1Q-0ayWd1lORqahMh9DPji6Ht-9t6aJgseDPxU_nioRt15T13dSgAgT-2JKNoorPMcHEtBwSVNLK-kJss/w300-h300-c-rw/pb.png
20 JT XP|220000|https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEh7VoWUJipskbLn2xu_5v93ZFE0CFQiMMhGg1mlBVJLqy9flftHZR8M1RwaEmWB5RNpPHoQ_u3dS5XKPK1USiY4QceqqSv2jKsLCUk4F_E16_1Q-0ayWd1lORqahMh9DPji6Ht-9t6aJgseDPxU_nioRt15T13dSgAgT-2JKNoorPMcHEtBwSVNLK-kJss/w300-h300-c-rw/pb.png
30 JT XP|330000|https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEh7VoWUJipskbLn2xu_5v93ZFE0CFQiMMhGg1mlBVJLqy9flftHZR8M1RwaEmWB5RNpPHoQ_u3dS5XKPK1USiY4QceqqSv2jKsLCUk4F_E16_1Q-0ayWd1lORqahMh9DPji6Ht-9t6aJgseDPxU_nioRt15T13dSgAgT-2JKNoorPMcHEtBwSVNLK-kJss/w300-h300-c-rw/pb.png
40 JT XP|440000|https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEh7VoWUJipskbLn2xu_5v93ZFE0CFQiMMhGg1mlBVJLqy9flftHZR8M1RwaEmWB5RNpPHoQ_u3dS5XKPK1USiY4QceqqSv2jKsLCUk4F_E16_1Q-0ayWd1lORqahMh9DPji6Ht-9t6aJgseDPxU_nioRt15T13dSgAgT-2JKNoorPMcHEtBwSVNLK-kJss/w300-h300-c-rw/pb.png
50 JT XP|550000|https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEh7VoWUJipskbLn2xu_5v93ZFE0CFQiMMhGg1mlBVJLqy9flftHZR8M1RwaEmWB5RNpPHoQ_u3dS5XKPK1USiY4QceqqSv2jKsLCUk4F_E16_1Q-0ayWd1lORqahMh9DPji6Ht-9t6aJgseDPxU_nioRt15T13dSgAgT-2JKNoorPMcHEtBwSVNLK-kJss/w300-h300-c-rw/pb.png
100 JT XP|1100000|https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEh7VoWUJipskbLn2xu_5v93ZFE0CFQiMMhGg1mlBVJLqy9flftHZR8M1RwaEmWB5RNpPHoQ_u3dS5XKPK1USiY4QceqqSv2jKsLCUk4F_E16_1Q-0ayWd1lORqahMh9DPji6Ht-9t6aJgseDPxU_nioRt15T13dSgAgT-2JKNoorPMcHEtBwSVNLK-kJss/w300-h300-c-rw/pb.png
1 MILIAR XP CLAN|8000000|https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEh7VoWUJipskbLn2xu_5v93ZFE0CFQiMMhGg1mlBVJLqy9flftHZR8M1RwaEmWB5RNpPHoQ_u3dS5XKPK1USiY4QceqqSv2jKsLCUk4F_E16_1Q-0ayWd1lORqahMh9DPji6Ht-9t6aJgseDPxU_nioRt15T13dSgAgT-2JKNoorPMcHEtBwSVNLK-kJss/w300-h300-c-rw/pb.png
10 JT XP CLAN|240000|https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEh7VoWUJipskbLn2xu_5v93ZFE0CFQiMMhGg1mlBVJLqy9flftHZR8M1RwaEmWB5RNpPHoQ_u3dS5XKPK1USiY4QceqqSv2jKsLCUk4F_E16_1Q-0ayWd1lORqahMh9DPji6Ht-9t6aJgseDPxU_nioRt15T13dSgAgT-2JKNoorPMcHEtBwSVNLK-kJss/w300-h300-c-rw/pb.png
20 JT XP CLAN|400000|https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEh7VoWUJipskbLn2xu_5v93ZFE0CFQiMMhGg1mlBVJLqy9flftHZR8M1RwaEmWB5RNpPHoQ_u3dS5XKPK1USiY4QceqqSv2jKsLCUk4F_E16_1Q-0ayWd1lORqahMh9DPji6Ht-9t6aJgseDPxU_nioRt15T13dSgAgT-2JKNoorPMcHEtBwSVNLK-kJss/w300-h300-c-rw/pb.png
30 JT XP CLAN|500000|https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEh7VoWUJipskbLn2xu_5v93ZFE0CFQiMMhGg1mlBVJLqy9flftHZR8M1RwaEmWB5RNpPHoQ_u3dS5XKPK1USiY4QceqqSv2jKsLCUk4F_E16_1Q-0ayWd1lORqahMh9DPji6Ht-9t6aJgseDPxU_nioRt15T13dSgAgT-2JKNoorPMcHEtBwSVNLK-kJss/w300-h300-c-rw/pb.png
40 JT XP CLAN|600000|https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEh7VoWUJipskbLn2xu_5v93ZFE0CFQiMMhGg1mlBVJLqy9flftHZR8M1RwaEmWB5RNpPHoQ_u3dS5XKPK1USiY4QceqqSv2jKsLCUk4F_E16_1Q-0ayWd1lORqahMh9DPji6Ht-9t6aJgseDPxU_nioRt15T13dSgAgT-2JKNoorPMcHEtBwSVNLK-kJss/w300-h300-c-rw/pb.png
50 JT XP CLAN|700000|https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEh7VoWUJipskbLn2xu_5v93ZFE0CFQiMMhGg1mlBVJLqy9flftHZR8M1RwaEmWB5RNpPHoQ_u3dS5XKPK1USiY4QceqqSv2jKsLCUk4F_E16_1Q-0ayWd1lORqahMh9DPji6Ht-9t6aJgseDPxU_nioRt15T13dSgAgT-2JKNoorPMcHEtBwSVNLK-kJss/w300-h300-c-rw/pb.png
100 JT XP CLAN|1100000|https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEh7VoWUJipskbLn2xu_5v93ZFE0CFQiMMhGg1mlBVJLqy9flftHZR8M1RwaEmWB5RNpPHoQ_u3dS5XKPK1USiY4QceqqSv2jKsLCUk4F_E16_1Q-0ayWd1lORqahMh9DPji6Ht-9t6aJgseDPxU_nioRt15T13dSgAgT-2JKNoorPMcHEtBwSVNLK-kJss/w300-h300-c-rw/pb.png
25.000 GB KILL|70000|https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEh7VoWUJipskbLn2xu_5v93ZFE0CFQiMMhGg1mlBVJLqy9flftHZR8M1RwaEmWB5RNpPHoQ_u3dS5XKPK1USiY4QceqqSv2jKsLCUk4F_E16_1Q-0ayWd1lORqahMh9DPji6Ht-9t6aJgseDPxU_nioRt15T13dSgAgT-2JKNoorPMcHEtBwSVNLK-kJss/w300-h300-c-rw/pb.png
50.000 GB KILL|100000|https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEh7VoWUJipskbLn2xu_5v93ZFE0CFQiMMhGg1mlBVJLqy9flftHZR8M1RwaEmWB5RNpPHoQ_u3dS5XKPK1USiY4QceqqSv2jKsLCUk4F_E16_1Q-0ayWd1lORqahMh9DPji6Ht-9t6aJgseDPxU_nioRt15T13dSgAgT-2JKNoorPMcHEtBwSVNLK-kJss/w300-h300-c-rw/pb.png
100.000 GB KILL|200000|https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEh7VoWUJipskbLn2xu_5v93ZFE0CFQiMMhGg1mlBVJLqy9flftHZR8M1RwaEmWB5RNpPHoQ_u3dS5XKPK1USiY4QceqqSv2jKsLCUk4F_E16_1Q-0ayWd1lORqahMh9DPji6Ht-9t6aJgseDPxU_nioRt15T13dSgAgT-2JKNoorPMcHEtBwSVNLK-kJss/w300-h300-c-rw/pb.png
200.000 GB KILL|300000|https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEh7VoWUJipskbLn2xu_5v93ZFE0CFQiMMhGg1mlBVJLqy9flftHZR8M1RwaEmWB5RNpPHoQ_u3dS5XKPK1USiY4QceqqSv2jKsLCUk4F_E16_1Q-0ayWd1lORqahMh9DPji6Ht-9t6aJgseDPxU_nioRt15T13dSgAgT-2JKNoorPMcHEtBwSVNLK-kJss/w300-h300-c-rw/pb.png
300.000 GB KILL|400000|https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEh7VoWUJipskbLn2xu_5v93ZFE0CFQiMMhGg1mlBVJLqy9flftHZR8M1RwaEmWB5RNpPHoQ_u3dS5XKPK1USiY4QceqqSv2jKsLCUk4F_E16_1Q-0ayWd1lORqahMh9DPji6Ht-9t6aJgseDPxU_nioRt15T13dSgAgT-2JKNoorPMcHEtBwSVNLK-kJss/w300-h300-c-rw/pb.png
500.000 GB KILL|550000|https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEh7VoWUJipskbLn2xu_5v93ZFE0CFQiMMhGg1mlBVJLqy9flftHZR8M1RwaEmWB5RNpPHoQ_u3dS5XKPK1USiY4QceqqSv2jKsLCUk4F_E16_1Q-0ayWd1lORqahMh9DPji6Ht-9t6aJgseDPxU_nioRt15T13dSgAgT-2JKNoorPMcHEtBwSVNLK-kJss/w300-h300-c-rw/pb.png
1.000.000 GB KILL|1000000|https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEh7VoWUJipskbLn2xu_5v93ZFE0CFQiMMhGg1mlBVJLqy9flftHZR8M1RwaEmWB5RNpPHoQ_u3dS5XKPK1USiY4QceqqSv2jKsLCUk4F_E16_1Q-0ayWd1lORqahMh9DPji6Ht-9t6aJgseDPxU_nioRt15T13dSgAgT-2JKNoorPMcHEtBwSVNLK-kJss/w300-h300-c-rw/pb.png
